A.手工操作	B.单道批处理	C多道批处理	D.多用户分时系统 
A.首次适应和最佳适应	B.固定分区和可变分区	C首次适应和固定分区	D.最佳适应和可变分区 
A.磁盘文件区	B.磁盘对换区	C后备作业区	D.I/O缓冲区 
A.Opt.	B.LRU	CMFU	D.LFU 
A.Opt.	B.LRU	CMFU	D.LFU 
A.编译时	B.装入时	C调用时	D.紧凑时 
A.程序执行的离散性	B.程序执行的顺序性	C程序执行的局部性	D.程序执行的并发性 
A.一次性	B.多次性	C交换性	D.离散性 
A.等于外存(磁盘)的容量 	B.等于内、外存容量之和	C等于CPU逻辑地址给出的空间大小	D.在B、C之中取小者 
A.整体覆盖	B.整体对换	C部分对换	D.多道程序设计 
A.按地址递增顺序链在一起	B.始端指针表指向最大空闲区	C按大小递增顺序链在一起	D.寻找从最大空闲区开始 
A.分页式存储管理	B.分段式存储管理	C固定分区式存储管理	D.段页式存储管理 
A.分段存储管理 	B.分页存储管理	C可变分区分配	D.固定分区分配 
A.7	B.8 	C9	D.10 
A.置换算法选择不当	B.交换的信息量过大	C内存容量充足	D.请求页式管理方案 
A.2^24	B.2^16 	C2^8	D.2^32 
A.实现存储保护	B.事项程序浮动	C扩充辅存容量	D.扩充主存容量 
A.减少	B.增加	C无影响	D.可能增加也可能减少 
A.相同	B.随作业长度变化	C可以不同但预先固定	D.可以不同但根据作业长度变化 
A.无上邻空闲区，也无下邻空闲区	B.有上邻空闲区，但无下邻空闲区	C有下邻空闲区，但无上邻空闲区	D.有上邻空闲区，也有下邻空闲区 
A.可执行码	B.可重入码	C可改变码	D.可再现码 
A.静态重定位	B.动态重定位	C内存静态分配	D.内存动态分配 
A.集中空闲区	B.增加主存容量	C缩短访问周期 	D.加速地址转换 
A.先进先出	B.最近最少使用	C最不经常使用	D.最佳 
A.动态页式管理	B.静态页式管理	C分段存储管理	D.段页式存储管理 
A.减少	B.增加	C无影响	D.可能增加也可能减少 
A.1MB	B.401MB	C1MB+224B	D.2^24B
A.最先适应算法	B.最佳适应算法	C最差适应算法	D.固定式分区算法 
A.局部性原理	B.程序执行时对内存访问不均匀	C指令局部性	D.变量的连续访问 
A.不要求将作业装入到主存的连续区域	B.不要求将作业同时全部装入到主存的连续区域	C不要求进行缺页中断处理	D.不要求进行页面置换
A.I/O中断	B.程序中断	C访管中断	D.外中断 
A.用户有条件的	B.用户无条件的	C操作系统有条件的	D.操作系统无条件的 
A.容量扩大了内存	B.提高运算速度的设备	C不存在的存储器	D.充分利用了地址空间 
A.成正比	B.成反比	C无关	D.成固定比例 
A.分区	B.分页	C分段	D.段页 
A.程序I/O方式	B.中断驱动I/O控制方式	C直接存储器访问	DMA控制方式D.I/O通道控制方式 
A.通道技术	B.虚拟存储器	C并行技术	D.缓冲技术 
A.传输速率较高，以数据块为传输单位	B.一段时间内只允许一个用户(进程)访问	CI/O控制方式常采用	DMA方式D.可以寻址，随即地读/写任意数据块 
A.CPU和外设	B.内存和COU	C内存和外设	D.外设和外设 
A.共享设备	B.独占设备	C虚拟设备	D.物理设备 
A.120μs	B.110μs	C150μs	D.70μs 
A.中断技术	B.共享设备	C通道设备	D.缓冲设备 
A.Spooling技术	B.I/O重定向	C共享技术	D.缓冲技术 
A.1	B.3 	C2	D.4 
A.设备控制器和通道可以分别控制设备	B.设备控制器控制通道和设备一起工作	C通道控制设备控制器，设备控制器控制设备	D.设备控制器控制通道，通道控制设备 
A.提高计算机系统的功能	B.提高系统资源的利用率	C方便用户	D.提高系统的运行速度 
A.大于	B.等于 	C小于	D.不能确定 
A.提高内存利用率	B.提高系统吞吐量	C满足用户的需要	D.更好的满足多道程序运行的需要 
A. 一维　　　　　 	B. 二维　　　　	C 三维　　　　　 	D. 四维 
A.计算机字长	B.内存容量	C硬盘容量	D.内存容量和硬盘容量之和 
A.分段尺寸受内存空间的限制，且作业总的尺寸也受内存空间的限制。	B.分段尺寸受内存空间的限制，但作业总的尺寸不受内存空间的限制。	C分段尺寸不受内存空间的限制，且作业总的尺寸不受内存空间的限制。	D.分段尺寸不受内存空间的限制，但作业总的尺寸受内存空间的限制。 
A.安装一个更快的硬盘。	B.增加进程使用的盘块数目。	C增加运行进程的数目。	D.减少运行的进程数目。 
A.执行I/O指令集。	B.执行	CPU指令集。C传送I/O命令。	D.运行I/O进程。 
A. 0.8ms	B. 0.1ms 	C 1.6ms	D. 0.2ms 
A. 0.05ms	B. 0.1ms	C 0.15ms	D. 0.25ms 
A.虚拟设备是指允许用户使用系统中具有的物理设备更多的物理设备。	B.虚拟设备是指允许用户以标准方式来使用物理设备。	C虚拟设备是指把一个物理设备变换成多个对应的逻辑设备。	D.虚拟设备是指允许用户程序不必全部装入内存就可以使用系统中的设备。 
A.一个文件在同一个系统中、不同的存储介质上的拷贝，应采用同一种物理结构。	B.文件的物理结构不仅与外存的分配方式相关，还与存储介质的特性相关，通常在磁带上只适合使用顺序结构。	C采用顺序结构的文件既适合进行顺序访问，也适合进行随机访问。	D.虽然磁盘是随机访问的设备，但其中的文件也可以使用顺序结构。 
A.顺序文件适合于建立在顺序存储设备上，而不适合建立在磁盘上。	B.显式链接文件将分配给文件的下一个物理盘块的地址登记在该文件的前一个物理盘块中。	C顺序文件必须采用连续分配方式，而链接文件和索引文件则可采用离散分配方式。	D.在MS-DOS中采用的是隐式链接文件结构。 
A.在实时系统中并发运行多个程序；　　	B.在分布系统中同一时刻运行多个程序；	C在一台处理机上同一时刻运行多个程序；	D.在一台处理机上并发运行多个程序。 
A.一般应用软件	B.核心系统软件 	C用户应用软件	D.系统支撑软件 
A.前者为动态的，后者为静态的	B.前者存储在内存，后者存储在外存	C前者在一个文件中，后者在多个文件中	D.前者分时使用CPU,后者独占CPU 
A.数据集合	B.目标程序	C源程序	D.进程控制块 
A.计算机系统的地址结构和外存空间	B.页表长度	C内存空间	D.逻辑空间 
A.顺序存取	B.直接存取	C链接存取	D.随机存取 
A.定长的连续	B.不定长的连续	C定长的不连续	D.不定长的不连续 
A.特殊	B.普通	C目录文件	D.设备 
A.CPU可直接访问	B.	CPU不可访问C是高速缓冲器中的信息	D.必须在访问前先装入内存 
A.固定分区	B.可变分区	C简单分页	D.请求分页 
A.多道批处理系统	B.分时系统	C实时系统	D.分布式系统 
A.段式	B.页式	C分区	D.段页式 
A.从就绪变为运行	B.从运行变为就绪	C从运行变为阻塞	D.从阻塞变为就绪 
A.编译	B.连接	C运行	D.重定位或地址映射 
A.使用户程序占用若干不连续的内存空间	B.解决了碎片问题	C为用户编写程序提供方便	D.扩充了内存容量，提供了虚拟存储器 
A.多道	B.运行速度快	C宏观上并行	D.实际上多道程序是串插运行的 
A.操作系统	B.内存	CCPU	D.I/O设备 
A.功能强	B. 自己调用自己	C可被外层调用	D.执行时不可中断 
A.等待队列	B.运行队列	C就绪队列	D.任意一个队列 
A.从就绪变为运行	B.从运行变为就绪	C从等待变为就绪	D.从运行变为等待 
A.该进程重新占有了Cpu	B.进程状态变为就绪	C它的优先权变为最大	D.其pCb移至就绪队列的队首 
A.交互性	B.多路性	C成批性	D.独占性 
A.硬件自动	B.操作系统	C存储管理的查表程序	D.存储管理进程 
A.多道程序设计	B. 中断处理	C程序的并发执行	D. 实现分时与实时处理 
A.多道	B.运行速度快	C宏观上并行	D.实际上多道程序是串插运行的
A.操作系统	B.内存	CCPU	D.I/O设备 
A.请求系统服务	B.终止系统服务	C申请系统资源	D.释放系统资源 
A.作业	B.程序	C进程	D.过程 
A.多个终端都能得到系统的及时响应	B.先来先服务	C优先级较高的进程得到及时响应	D.需要Cpu最短的进程先做 
A.充分利用CPU，减少CPU等待时间	B.提高实时响应速度	C有利于代码共享，减少主、辅存信息交换量	D.充分利用存储器 
A.2G 	B.4G	C100K	D.640K 
A.shell命令	B.图形界面	C系统调用	D.C语言函数 
A.共享资源	B. 独占临源	C临界资源	D. 共享区 
A.中断	B.访问	C控制	D.依赖 
A.文件的物理结构	B.存放文件的存储设备的特性	CA和B.	D.文件的逻辑结构 
A.某一文件存放的数据信息	B.某一个文件的文件目录	C该目录中所有数据文件目录	D.该目录中所有子目录文件和数据文件的目录 
A.改善用户编程环境	B.提高	CPU的处理速度C提高CPU和设备之间的并行程度	D.实现与设备无关性
